,0
1478,200288959
1479,207793148
1480,217426707
1481,48109810
1482,33988109
1483,229584621
1484,210503866
1485,33747641
1486,204164152
1487,38910446
1488,40675180
1489,47581670
1490,49929108
1491,206333298
1492,201515063
1493,214385423
1494,213731766
1495,34491775
1496,42427234
1497,208491
1498,227758551
1499,41002083
1500,40951458
1501,237195067
1502,218738553
1503,43201334
1504,50143571
1505,210225687
1506,200018892
1507,217127270
1508,32045157
1509,39493757
1510,201135402
1511,47395254
1512,46635243
1513,227106463
1514,51184577
1515,38455841
1516,207971507
1517,234121402
1518,244342832
1519,203630326
1520,239597373
1521,230588174
1522,233083059
1523,34065726
1524,203224744
1525,238701745
1526,206810166
1527,221451816
1528,220172938
1529,31970954
1530,42347048
1531,219564791
1532,237978909
1533,34142045
1534,208555244
1535,200051980
1536,218460250
1537,33439871
1538,210376137
1539,34279844
1540,39525000
1541,45505284
1542,47942760
1543,221350108
1544,219956064
1545,41916
1546,203221402
1547,214611767
1548,44046834
1549,34172415
1550,200882597
1551,35351632
1552,214384875
1553,38292214
1554,37301135
1555,50392494
1556,43462909
1557,205968348
1558,243307528
1559,46671633
1560,39737661
1561,210577043
1562,32779240
1563,205831131
1564,31590364
1565,35143216
1566,200097464
1567,209680521
1568,200339822
1569,218376993
1570,211563972
1571,221815432
1572,219657630
1573,208735526
1574,201380110
1575,234672886
1576,213606719
1577,204162275
1578,224879548
1579,200145970
1580,228110042
1581,235418831
1582,228292560
1583,240361813
1584,201634783
1585,33891759
1586,201381584
1587,240788971
1588,35981743
1589,209815666
1590,50348890
1591,219348266
1592,237411352
1593,50579816
1594,44592735
1595,214414163
1596,237415992
1597,231040930
1598,38099338
1599,47933251
1600,45854458
1601,233090681
1602,43212969
1603,201316071
1604,32834448
1605,208213627
1606,203853779
1607,229112919
1608,40981679
1609,228808038
1610,42971833
1611,42938400
1612,235531576
1613,50353390
1614,41217269
1615,34463007
1616,43595849
1617,47269606
1618,213716621
1619,34586579
1620,225799937
1621,209116026
1622,213096632
1623,230282934
1624,200082435
1625,208179576
1626,213374607
1627,50028139
1628,34759559
1629,37745397
1630,214993895
1631,48208992
1632,32736897
1633,40543558
1634,50250872
1635,39058083
1636,231691304
1637,34317440
1638,200173657
1639,50992885
1640,226233998
1641,242949342
1642,200136193
1643,49333587
1644,47267307
1645,234367648
1646,46476546
1647,204024671
1648,210671886
1649,213756401
1650,213886265
1651,33277223
1652,229086018
1653,210125526
1654,38255057
1655,50889972
1656,37055190
1657,49121054
1658,230974785
1659,36737621
1660,202366803
1661,223057784
1662,48445915
1663,201766267
1664,241951590
1665,221786141
1666,203287640
1667,38830622
1668,41153622
1669,202222086
1670,43538012
1671,33284338
1672,39699287
1673,204822824
1674,220759655
1675,233151477
1676,37558236
1677,242238887
1678,46167669
1679,216048162
1680,42784180
1681,32245277
1682,47349817
1683,51019813
1684,39008116
1685,49976827
1686,37206538
1687,36781511
