,0
462,2681996962
463,2678589089
464,2681013930
465,2681538233
466,2638907082
467,2682160843
468,2682291917
469,2674296526
470,2681505487
471,2681603790
472,2682291921
473,2681603797
474,2681210582
475,2463106776
476,2680391384
477,2682029791
478,2673903327
479,2682193633
480,2682062559
481,2682160865
482,2681669348
483,2682226409
484,2681439978
485,2681439988
486,2681505533
487,2681374463
488,2680817408
489,2676721410
490,2679506691
491,2682259216
492,2682160914
493,2681472788
494,2682160917
495,2682291990
496,2681308952
497,2679703323
498,2682160924
499,2681669405
500,2679244572
501,2682259230
502,2671707938
503,2681308970
504,2681505587
505,2668463928
506,2681374522
507,2680981306
508,2682226492
509,2682029894
510,2681210699
511,2682226511
512,2682193745
513,2682226517
514,2681997147
515,2681472859
516,2681997155
517,2682259302
518,2682292071
519,2681833321
520,2681177963
521,2682193772
522,2673379180
523,2674198385
524,2681243506
525,2682062705
526,2681079669
527,2678294391
528,2681669496
529,2677966730
530,2670725002
531,2682193804
532,2682095501
533,2681997198
534,2682259343
535,2671445903
536,2681440159
537,2681997216
538,2679637920
539,2681669541
540,2681833383
541,2681178027
542,2681571245
543,2682193839
544,2681309107
545,2682161080
546,2680883133
547,2605156286
548,2680981440
549,2681112514
550,2681472966
551,2681178054
552,2680850376
553,2681604044
554,2681407438
555,2679932879
556,2680522704
557,2682292175
558,2665580499
559,2680424404
560,2678818771
561,2679932893
562,2677639134
563,2681276387
564,2682259433
565,2681833451
566,2680883185
567,2682095604
568,2677966838
569,2681112569
570,2680752121
571,2681833466
572,2680752123
573,2681538564
574,2681473028
575,2681014279
576,2681538571
577,2682095630
578,2680915985
579,2682095639
580,2681505820
581,2682095645
582,2682259489
583,2681210931
584,2681997368
585,2682095672
586,2643789894
587,2682292296
588,2677540937
589,2682194003
590,2680490071
591,2681178205
592,2680424545
593,2681505891
594,2680981604
595,2665777251
596,2682226801
597,2678818934
598,2680719482
599,2679277693
600,2682226814
601,2681604227
602,2681178244
603,2681309320
604,2682161288
605,2682161297
606,2681833624
607,2681047193
608,2682063002
609,2679146651
610,2681243802
611,2682161315
612,2681538726
613,2681571500
614,2680522931
615,2677639361
616,2681407685
617,2677180620
618,2681997522
619,2682194132
620,2682161364
621,2682095832
622,2682063072
623,2680850671
624,2679900402
625,2682030323
626,2677967099
627,2682292477
628,2682194186
629,2674493708
630,2678819085
631,2658928910
632,2682161423
633,2671085840
634,2666498321
635,2680883474
636,2680719637
637,2616428824
638,2682259738
639,2672658719
640,2682259744
641,2680260898
642,2682063147
643,2680457524
644,2681473333
645,2682063165
646,2681768253
647,2681669953
648,2681342273
649,2682227011
650,2682030406
651,2678294861
652,2682259791
653,2681211215
654,2664991056
655,2682194259
656,2681112915
657,2682259799
658,2680588632
659,2681571675
660,2681506139
661,2680457565
662,2682227039
663,2682063200
664,2679834975
665,2682259822
666,2678524274
667,2680818038
668,2681997686
669,2681670009
670,2682194298
671,2664958337
672,2681604484
673,2680752525
674,2680490381
675,2681833878
676,2593163676
677,2679376287
678,2682292639
679,2681997729
680,2680490403
681,2682063269
682,2680752553
683,2638809514
684,2681997740
685,2681407917
686,2681276846
687,2681833907
688,2682259892
689,2682259894
690,2682259896
691,2681375166
692,2674919871
693,2646084035
694,2677737923
695,2681473478
696,2682194374
697,2679638478
698,2679245267
699,2681833940
700,2681244115
701,2664925652
702,2682096086
703,2681833939
704,2682259931
705,2674035171
706,2664106469
707,2682030566
708,2681997799
709,2678753767
710,2681506278
711,2676066796
712,2682259954
713,2681014775
714,2679933432
715,2682292731
716,2673183244
717,2682259991
718,2682227228
719,2682063392
720,2667481636
721,2681047592
722,2682096169
723,2682260015
724,2679343670
725,2681375290
726,2682292795
727,2681571900
728,2681539134
729,2681506366
730,2682194499
731,2682063439
732,2680851026
733,2681342555
734,2681375324
735,2681604704
736,2682063457
737,2682096238
738,2681604718
739,2681571956
740,2680949365
741,2681670264
742,2680916600
743,2670267005
744,2674330239
745,2681834117
746,2680752773
747,2681014921
748,2682161810
749,2682292884
750,2681571998
751,2637892262
752,2681604777
753,2623539886
754,2682030772
755,2681604791
756,2681408186
757,2681080512
758,2680752832
759,2682227395
760,2681539269
761,2682227398
762,2682227400
763,2650999500
764,2679835342
765,2670889687
766,2682096344
767,2681604830
768,2681768671
769,2682096353
770,2681834213
771,2681899759
772,2682096370
773,2682161908
