,0
860,235931078
861,204211657
862,46138827
863,214697420
864,263629
865,216008144
866,229901776
867,47711701
868,34604502
869,47187415
870,206833111
871,35915224
872,47973850
873,33818069
874,44041692
875,45090269
876,202900957
877,207095262
878,50857442
879,49808866
880,34604520
881,230426089
882,263657
883,43779562
884,235144684
885,207357417
886,229115373
887,40633845
888,208143862
889,202376694
890,40371706
891,37750270
892,230950399
893,206833153
894,36963849
895,205522443
896,208406028
897,32769550
898,243271187
899,211813908
900,219153942
901,525846
902,206308889
903,203687450
904,32769564
905,32245277
906,236455455
907,39585314
908,51119659
909,40109613
910,203163189
911,40371766
912,201328184
913,212338233
914,203425338
915,204736056
916,40896066
917,44566083
918,38536773
919,235144774
920,203425350
921,233047623
922,40371785
923,43517514
924,39323211
925,36701771
926,36439629
927,201852492
928,219678283
929,43779662
930,234882644
931,37750359
932,238552665
933,230426205
934,38536801
935,216532579
936,221775459
937,41944680
938,241436272
939,220202615
940,206833271
941,234358392
942,206046840
943,35915387
944,36963962
945,32245368
946,231999102
947,220726912
948,230950529
949,48498306
950,214435459
951,34604676
952,45614723
953,233309831
954,231736972
955,35128973
956,48760463
957,233047696
958,32245399
959,42731159
960,33293977
961,49022618
962,38799005
963,200541856
964,202639008
965,203163300
966,222037669
967,47449765
968,201328295
969,46663336
970,40896168
971,202639013
972,213386917
973,219678377
974,231474860
975,230688430
976,46925487
977,33031855
978,208406193
979,34080433
980,234620595
981,232261300
982,211027637
983,239863475
984,238028471
985,222037688
986,43255485
987,220726973
988,39847613
989,207095489
990,36701890
991,201852611
992,41944774
993,38799050
994,45876940
995,232261324
996,227280588
997,223872722
998,226494164
999,34342613
1000,211289815
1001,202376920
1002,201852633
1003,36964058
1004,206571227
1005,40896218
1006,220202717
1007,37488349
1008,32245472
1009,50071266
1010,240125669
1011,36177638
1012,32245480
1013,45876971
1014,34866927
1015,51381999
1016,40371953
1017,51382001
1018,32245489
1019,31983346
1020,40371957
1021,50333429
1022,236455675
1023,222037758
1024,216532735
1025,36964096
1026,34342659
1027,36439811
1028,219940615
1029,219940617
1030,36701962
1031,41420554
1032,203163404
1033,214697738
1034,223086345
1035,226756364
1036,208930577
1037,213649171
1038,220727060
1039,208930581
1040,234882839
1041,34604826
1042,231212830
1043,230426399
1044,49809186
1045,38799140
1046,213124901
1047,36439846
1048,202114860
1049,234882860
1050,214435630
1051,239863600
1052,217057072
1053,218367792
1054,39323440
1055,241436468
1056,41158456
1057,207357759
1058,202377023
1059,215222082
1060,201852739
1061,51382084
1062,234882883
1063,219416392
1064,200017738
1065,223872842
1066,233834317
1067,236980045
1068,50333528
1069,49022809
1070,204736346
1071,43517784
1072,46139225
1073,236980060
1074,35391326
1075,231737184
1076,203425632
1077,34080610
1078,211552098
1079,41158500
1080,235931493
1081,36439909
1082,201852774
1083,43255656
1084,226756457
1085,47449962
1086,44566378
1087,38799207
1088,32507750
1089,220989294
1090,42993513
1091,240912240
1092,210503536
1093,33032052
1094,39061367
1095,214959991
1096,50857848
1097,44304250
1098,49022842
1099,231212922
1100,34342778
